"Foster Care Placements by Borough/CD of Origin, CY 2025*",,
,,
BRONX,,
BX01 Mott Haven/Melrose,123,
BX02 Hunts Point/Longwood,41,
BX03 Morrisania/Crotona,99,
BX04 Highbridge/Concourse,108,
BX05 Fordham/University Heights,90,
BX06 Belmont/East Tremont,87,
BX07 Kingsbridge Heights/Bedford Park,52,
BX08 Riverdale/Fieldstone,22,
BX09 Parkchester/Soundview,76,
BX10 Throgs Neck/Co-op City,24,
BX11 Morris Park/Bronxdale,36,
BX12 Williamsbridge/Baychester,109,
        Unknown CD,19,
        BRONX TOTAL,886,
BROOKLYN,,
BK01 Greenpoint/Williamsburg,21,
BK02 Fort Greene/Brooklyn Heights,33,
BK03 Bedford Stuyvesant,66,
BK04 Bushwick,24,
BK05 East New York/Starrett City,109,
BK06 Park Slope/Carroll Gardens,28,
BK07 Sunset Park,12,
BK08 Crown Heights,39,
BK09 South Crown Heights/Prospect,24,
BK10 Bay Ridge/Dyker Heights,6,
BK11 Bensonhurst,12,
BK12 Borough Park,5,
BK13 Coney Island,36,
BK14 Flatbush/Midwood,33,
BK15 Sheepshead Bay,15,
BK16 Brownsville,118,
BK17 East Flatbush,62,
BK18 Flatlands/Canarsie,43,
        Unknown CD,8,
        BROOKLYN TOTAL,694,
MANHATTAN,,
MN01 Financial District,5,
MN02 Greenwich Village/Soho,3,
MN03 Lower East Side/Chinatown,43,
MN04 Clinton/Chelsea,45,
MN05 Midtown,32,
MN06 Stuyvesant Town/Turtle Bay,22,
MN07 Upper West Side,23,
MN08 Upper East Side,9,
MN09 Morningside Heights/Hamilton,46,
MN10 Central Harlem,73,
MN11 East Harlem,99,
MN12 Washington Heights/Inwood,44,
        Unknown CD,10,
        MANHATTAN TOTAL,454,
QUEENS,,
QN01 Astoria,73,
QN02 Woodside/Sunnyside,18,
QN03 Jackson Heights,54,
QN04 Elmhurst/Corona,22,
QN05 Ridgewood/Maspeth,24,
QN06 Rego Park/Forest Hills,13,
QN07 Flushing/Whitestone,17,
QN08 Hillcrest/Fresh Meadows,21,
QN09 Ozone Park/Woodhaven,28,
QN10 South. Ozone Park/Howard Beach,31,
QN11 Bayside/Little Neck,9,
QN12 Jamaica/Hollis,136,
QN13 Queens Village,58,
QN14 Rockaway/Broad Channel,102,
         Unknown CD,8,
         QUEENS TOTAL,614,
STATEN ISLAND,,
S101 Saint George/Stapleton,80,
S102 South Beach/Willowbrook,14,
S103 Tottenville/Great Kills,10,
        Unknown CD,2,
        STATEN ISLAND TOTAL,106,
        Outside of NYC/Unknown,283,
Total,"3,037",
,,
*Excludes Close to Home placements,,
Prepared by ACS/DPPM/ORA/JACWR,,
Data Source: CCRS,,
